Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.18-224.0.0.252-57439-5355-17,192.168.100.18,57439,224.0.0.252,5355,17,17/05/2026 10:01:42 pm,411677,2,0,66.0,0.0,33.0,33.0,33.0,0.0,0,0,0,0,160.31986241640897,4.85817764898209,411677.0,0.0,411677.0,411677.0,411677.0,411677.0,0.0,411677.0,411677.0,0,0,0,0,0,0,0,0,0,16,0,4.85817764898209,0.0,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,49.5,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-142.250.202.202-39388-443-6,192.168.100.18,39388,142.250.202.202,443,6,17/05/2026 10:01:34 pm,66167,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.113273988544137,30.226547977088273,66167.0,0.0,66167.0,66167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,15.113273988544137,15.113273988544137,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,512,1044,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-142.251.152.119-54320-443-17,192.168.100.18,54320,142.251.152.119,443,17,17/05/2026 10:01:38 pm,1339017,3,3,87.0,86.0,29.0,29.0,29.0,0.0,29.0,28.0,28.666666666666668,0.5773502691896257,129.1992558720315,4.4808990475849075,267803.4,431249.03670361976,1020942.0,0.0,1296372.0,648186.0,579001.659852543,1057602.0,238770.0,1063587.0,531793.5,752069.5800818566,1063587.0,0.0,0,0,0,0,24,24,2.2404495237924538,2.2404495237924538,28.0,29.0,28.857142857142858,0.37796447300922703,0.1428571428571427,0,0,0,0,0,0,0,0,1.0,33.666666666666664,29.0,28.666666666666668,0,0,0,115,4,417,3,87,3,86,0,0,2,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-224.0.0.251-5353-5353-17,192.168.100.18,5353,224.0.0.251,5353,17,17/05/2026 10:01:40 pm,2459202,14,0,546.0,0.0,39.0,39.0,39.0,0.0,0,0,0,0,222.02324168571758,5.692903632967117,189169.3846153846,357046.1679235937,991779.0,2149.0,2459202.0,189169.3846153846,357046.1679235937,991779.0,2149.0,0,0,0,0,0,0,0,0,0,112,0,5.692903632967117,0.0,39.0,39.0,39.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,41.785714285714285,39.0,0.0,0,0,0,546,14,222,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-142.250.202.202-39506-443-6,192.168.100.18,39506,142.250.202.202,443,6,17/05/2026 10:01:44 pm,281108,3,7,512.0,5759.0,512.0,0.0,170.66666666666669,295.6033378250884,1412.0,0.0,822.7142857142857,735.3853217385913,22308.152026978954,35.5735162286381,31234.222222222223,80636.55639004214,243806.0,0.0,281108.0,140554.0,198210.51604796352,280710.0,398.0,244198.0,40699.66666666666,99501.49958601964,243806.0,0.0,1,0,0,0,60,140,10.672054868591431,24.90146136004667,0.0,1412.0,616.6363636363636,657.602048769204,432440.4545454546,0,0,0,6,10,0,0,0,2.0,678.3,170.66666666666666,822.7142857142857,0,0,0,6271,7,22314,0,0,0,0,512,1044,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-142.250.202.234-38711-443-6,192.168.100.18,38711,142.250.202.234,443,6,17/05/2026 10:01:46 pm,43495,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.991148407862973,45.982296815725945,43495.0,0.0,43495.0,43495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,22.991148407862973,22.991148407862973,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,510,1030,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-224.0.0.252-51984-5355-17,192.168.100.18,51984,224.0.0.252,5355,17,17/05/2026 10:01:42 pm,410947,2,0,66.0,0.0,33.0,33.0,33.0,0.0,0,0,0,0,160.60465218142485,4.866807641861359,410947.0,0.0,410947.0,410947.0,410947.0,410947.0,0.0,410947.0,410947.0,0,0,0,0,0,0,0,0,0,16,0,4.866807641861359,0.0,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,49.5,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-20.150.179.224-36356-8883-6,192.168.100.18,36356,20.150.179.224,8883,6,17/05/2026 10:01:35 pm,491712,2,2,31.0,31.0,31.0,0.0,15.5,21.920310216782973,31.0,0.0,15.5,21.920310216782973,126.09006898347,8.134843160223872,163904.0,141937.37711751615,267973.0,2218.0,491712.0,491712.0,0.0,491712.0,491712.0,2218.0,2218.0,0.0,2218.0,2218.0,1,0,0,0,40,40,4.067421580111936,4.067421580111936,0.0,31.0,18.6,16.97939928266015,288.30000000000007,0,0,0,2,4,0,0,0,1.0,23.25,15.5,15.5,0,0,0,0,0,0,0,0,0,0,509,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-34.54.84.110-36393-443-6,192.168.100.18,36393,34.54.84.110,443,6,17/05/2026 10:01:43 pm,843144,41,61,1179.0,64792.0,423.0,0.0,28.75609756097561,67.23606937046695,1412.0,0.0,1062.1639344262292,605.9937343000576,78244.04846621692,120.97577637983547,8347.960396039602,37491.77219255468,302673.0,0.0,731178.0,18279.45,75014.98403616542,395717.0,54.0,720569.0,12009.483333333332,57068.74789664867,414639.0,0.0,1,0,0,0,820,1232,48.627517956600535,72.34825842323494,0.0,1412.0,640.9320388349516,691.3925740232025,478023.69141442963,0,0,0,44,102,0,0,0,1.0,647.2156862745098,28.75609756097561,1062.1639344262296,0,0,0,65971,65,90225,0,0,0,0,512,1042,16,20,0,0,0,0,0,0,0,0,NeedManualLabel
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
